2022-05-04 17:18:58.366 ERROR [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 0:0:0:0:0:0:0:1, STATUS: 400, ERROR: Missing required request parameter type
2022-05-04 17:19:21.471 ERROR [nio-8081-exec-2] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 0:0:0:0:0:0:0:1, STATUS: 500, ERROR: Failed to invoke the method getLogList in the service com.flow.eda.common.dubbo.api.LogsService. No provider available for the service com.flow.eda.common.dubbo.api.LogsService from registry 124.221.84.22:8848 on the consumer 192.168.2.2 using the dubbo version 3.0.7. Please check if the providers have been started and registered.
2022-05-04 17:21:21.540  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 0:0:0:0:0:0:0:1, STATUS: 200, TIME: 317
2022-05-04 17:34:59.303  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 0:0:0:0:0:0:0:1, STATUS: 200, TIME: 22
2022-05-04 17:50:49.148  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 0:0:0:0:0:0:0:1, STATUS: 200, TIME: 899
2022-05-04 18:10:31.067  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/flow, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 798
2022-05-04 18:10:33.436  INFO [nio-8081-exec-3] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 103
2022-05-04 18:11:11.283  INFO [nio-8081-exec-4] com.flow.eda.web.log.LogAspect           : URI: /api/v1/flow, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 124
2022-05-04 18:11:12.989  INFO [nio-8081-exec-8] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 83
2022-05-04 18:12:16.812  INFO [nio-8081-exec-2] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 3
2022-05-04 18:12:40.544  INFO [nio-8081-exec-6] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 90
2022-05-04 18:13:10.507  INFO [nio-8081-exec-5] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 84
2022-05-04 18:14:32.284  INFO [nio-8081-exec-7] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 82
2022-05-04 18:15:28.347  INFO [nio-8081-exec-9] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 86
2022-05-04 18:15:30.123  INFO [io-8081-exec-10] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 82
2022-05-04 18:16:01.115  INFO [nio-8081-exec-1] com.flow.eda.web.log.LogAspect           : URI: /api/v1/flow, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 122
2022-05-04 18:18:48.094  INFO [nio-8081-exec-3] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 90
2022-05-04 18:19:09.282  INFO [nio-8081-exec-4] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 3
2022-05-04 18:20:48.647  INFO [nio-8081-exec-8] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 85
2022-05-04 18:20:52.276  INFO [nio-8081-exec-2] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 82
2022-05-04 18:20:53.835  INFO [nio-8081-exec-6] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 3
2022-05-04 18:21:26.881  INFO [nio-8081-exec-5] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 87
2022-05-04 18:24:41.266  INFO [nio-8081-exec-7] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 102
2022-05-04 18:24:45.585  INFO [nio-8081-exec-9] com.flow.eda.web.log.LogAspect           : URI: /api/v1/logs, METHOD: GET, IP: 127.0.0.1, STATUS: 200, TIME: 83
